MSTWnlo_0112  MSTWnlo_0113  MSTWnlo_0114  MSTWnlo_0115  MSTWnlo_0116  MSTWnlo_0117  MSTWnlo_0118  MSTWnlo_0119  MSTWnlo_0120  MSTWnlo_0121  MSTWnlo_0122  MSTWnlo_0123  MSTWnlo_0124  MSTWnlo_0125  MSTWnlo_0126  MSTWnlo_0127
2.492133e-04  2.495588e-04  2.500319e-04  2.506643e-04  2.515324e-04  2.525497e-04  2.536388e-04  2.548379e-04  2.563871e-04  2.578295e-04  2.598586e-04  2.625730e-04  2.662674e-04  2.720033e-04  2.876075e-04  2.907879e-04
1.037609e-04  1.037391e-04  1.037745e-04  1.038714e-04  1.040709e-04  1.043360e-04  1.046293e-04  1.049842e-04  1.054734e-04  1.059280e-04  1.066396e-04  1.076500e-04  1.090917e-04  1.114354e-04  1.182058e-04  1.193925e-04
9.447465e-06  9.421071e-06  9.399878e-06  9.384380e-06  9.378078e-06  9.378457e-06  9.381049e-06  9.391109e-06  9.411473e-06  9.430672e-06  9.474901e-06  9.548016e-06  9.662963e-06  9.866855e-06  1.051794e-05  1.060277e-05
1.546764e+03  1.575399e+03  1.604303e+03  1.633557e+03  1.663111e+03  1.692664e+03  1.722214e+03  1.751143e+03  1.781265e+03  1.810953e+03  1.840725e+03  1.870469e+03  1.900389e+03  1.930428e+03  1.960211e+03  1.991650e+03
6.771725e+02  6.893873e+02  7.017335e+02  7.142783e+02  7.270312e+02  7.397889e+02  7.525503e+02  7.650090e+02  7.780322e+02  7.908592e+02  8.037755e+02  8.167310e+02  8.298176e+02  8.430902e+02  8.567779e+02  8.706132e+02
3.128130e+02  3.182977e+02  3.238559e+02  3.295217e+02  3.353069e+02  3.411091e+02  3.469145e+02  3.525711e+02  3.585064e+02  3.643387e+02  3.702489e+02  3.761981e+02  3.822450e+02  3.884608e+02  3.951560e+02  4.015558e+02
1.508742e+02  1.534457e+02  1.560557e+02  1.587244e+02  1.614625e+02  1.642130e+02  1.669676e+02  1.696508e+02  1.724698e+02  1.752357e+02  1.780601e+02  1.809163e+02  1.838415e+02  1.868894e+02  1.903379e+02  1.934212e+02
7.438399e+01  7.561751e+01  7.687164e+01  7.815544e+01  7.948082e+01  8.081456e+01  8.214977e+01  8.345235e+01  8.482039e+01  8.616214e+01  8.754339e+01  8.894779e+01  9.039896e+01  9.193175e+01  9.375801e+01  9.527629e+01
3.707806e+01  3.767487e+01  3.828276e+01  3.890556e+01  3.955182e+01  4.020410e+01  4.085613e+01  4.149358e+01  4.216350e+01  4.281929e+01  4.350097e+01  4.419823e+01  4.492563e+01  4.570570e+01  4.668600e+01  4.743952e+01
1.873519e+01  1.902724e+01  1.932490e+01  1.963002e+01  1.994813e+01  2.026979e+01  2.059141e+01  2.090650e+01  2.123810e+01  2.156181e+01  2.190167e+01  2.225201e+01  2.262073e+01  2.302339e+01  2.355768e+01  2.393506e+01
9.578910e+00  9.723639e+00  9.871287e+00  1.002247e+01  1.018080e+01  1.034112e+01  1.050168e+01  1.065922e+01  1.082557e+01  1.098736e+01  1.115869e+01  1.133704e+01  1.152642e+01  1.173714e+01  1.203192e+01  1.222330e+01
4.910894e+00  4.982322e+00  5.055276e+00  5.129887e+00  5.208342e+00  5.287980e+00  5.367771e+00  5.446265e+00  5.529504e+00  5.610149e+00  5.696224e+00  5.786828e+00  5.884074e+00  5.994299e+00  6.157100e+00  6.254054e+00
2.506231e+00  2.541164e+00  2.576873e+00  2.613421e+00  2.651955e+00  2.691154e+00  2.730474e+00  2.769256e+00  2.810612e+00  2.850532e+00  2.893466e+00  2.939178e+00  2.988823e+00  3.046182e+00  3.135479e+00  3.184373e+00
1.274185e+00  1.291069e+00  1.308387e+00  1.326116e+00  1.344845e+00  1.363929e+00  1.383115e+00  1.402108e+00  1.422477e+00  1.442036e+00  1.463308e+00  1.486192e+00  1.511367e+00  1.541083e+00  1.589825e+00  1.614368e+00
6.478006e-01  6.558924e-01  6.642038e-01  6.727274e-01  6.817413e-01  6.909630e-01  7.002233e-01  7.094670e-01  7.194228e-01  7.289321e-01  7.394160e-01  7.507993e-01  7.634952e-01  7.788191e-01  8.053100e-01  8.175591e-01
